************* Module ast
/log/firmware/firmware/usr/lib/python3.8/ast.py:502:0: W0622: Redefining built-in 'Ellipsis' (redefined-builtin)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0401: Wildcard import _ast (wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import While from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import With from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Yield from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import YieldFrom from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import alias from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import arg from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import arguments from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import boolop from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import cmpop from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import comprehension from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import excepthandler from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import expr from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import expr_context from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import keyword from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import mod from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import operator from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import stmt from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import type_ignore from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import unaryop from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import withitem from wildcard import (unused-wildcard-import)

-----------------------------------
Your code has been rated at 5.57/10

