************* Module idlelib.tooltip
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Image from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import PhotoImage from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import BitmapImage from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import image_names from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import image_types from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Spinbox from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import LabelFrame from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import PanedWindow from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import NO from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import FALSE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import OFF from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import YES from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import TRUE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import ON from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import N from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import S from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import W from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import E from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import NW from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import SW from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import NE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import SE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import NS from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import EW from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import NSEW from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import CENTER from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import NONE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import X from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Y from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import BOTH from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import TOP from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import RIGHT from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import BOTTOM from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import RAISED from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import SUNKEN from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import FLAT from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import RIDGE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import GROOVE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import HORIZONTAL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import VERTICAL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import NUMERIC from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import CHAR from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import WORD from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import BASELINE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import INSIDE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import OUTSIDE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import SEL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import SEL_FIRST from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import SEL_LAST from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import END from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import INSERT from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import CURRENT from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import ANCHOR from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import ALL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import NORMAL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import DISABLED from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import ACTIVE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import HIDDEN from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import CASCADE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import CHECKBUTTON from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import COMMAND from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import RADIOBUTTON from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import SEPARATOR from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import SINGLE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import BROWSE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import MULTIPLE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import EXTENDED from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import DOTBOX from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import UNDERLINE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import PIESLICE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import CHORD from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import ARC from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import FIRST from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import LAST from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import BUTT from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import PROJECTING from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import ROUND from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import BEVEL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import MITER from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import MOVETO from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import SCROLL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import UNITS from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import PAGES from wildcard import (unused-wildcard-import)

------------------------------------
Your code has been rated at -5.31/10

