************* Module idlelib.autocomplete_w
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import SEL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import SEL_FIRST from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import SEL_LAST from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import INSERT from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import CURRENT from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import ANCHOR from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import ALL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import NORMAL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import DISABLED from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import ACTIVE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import HIDDEN from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import CASCADE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import CHECKBUTTON from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import COMMAND from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import RADIOBUTTON from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import SEPARATOR from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import SINGLE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import BROWSE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import MULTIPLE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import EXTENDED from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import DOTBOX from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import UNDERLINE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import PIESLICE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import CHORD from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import ARC from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import FIRST from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import LAST from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import BUTT from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import PROJECTING from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import ROUND from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import BEVEL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import MITER from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import MOVETO from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import SCROLL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import UNITS from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import PAGES from wildcard import (unused-wildcard-import)

-----------------------------------
Your code has been rated at 5.02/10

